,Precision,Recall,F1_macro,Cohen's Kappa,Count Gold,Count Synt
repair_initiator,0.9213687727596951,0.8050663187649489,0.8537392716124304,0.7075361679326757,18,13
greeting,0.6599775572002607,0.9294574192862459,0.7087778825884319,0.4362710132959514,116,355
request_summary,0.49611084103062714,0.4987781036168133,0.49744089690470383,-0.0037086829539658694,16,5
confirmation,0.8793865897013464,0.8459843982402521,0.8607591617201442,0.7218917322808869,515,451
receipt,0.9990200881920628,0.9199999999999999,0.95603130264196,0.9120701051150295,25,21
disconfirmation,0.5693584112324961,0.5275923353794226,0.5383286777405805,0.07862203970466197,33,13
sequence_closer,0.6789601321820702,0.8236788323982493,0.7120000936710174,0.4382168015844272,226,472
completion_check,0.8016434366548784,0.9222404222404222,0.8515056758959197,0.7031474942793496,27,38
hold_request,0.9653186519853186,0.7646505131475072,0.835702368391189,0.6720706306445239,66,37
partial_request,0.9244667847774436,0.7710367495268847,0.8229198473282443,0.6491790400534354,329,195
detail_request,0.8479007991460389,0.9428375683100871,0.8868754526708271,0.7744593740278767,239,318
grant,0.7288954500719207,0.6297158802289982,0.6560444774818981,0.32181593305417966,338,175
answer,0.7498736331399287,0.8073725527854134,0.7740550714175218,0.5490412591955711,227,289
